"Initial source","Transformation ID","Reaction SMILES","Substrate SMILES","Substrate InChI","Product SMILES","Product InChI","In Sink","Sink name","Diameter","Rule ID","EC number","Score","Starting Source SMILES","Iteration"
"[target]","TRS_0_0_4","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])SC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])([H])[H]","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","1","[MNXM26]","16","[RR-02-ed6ef7dca86a88fd-16-F]","[2.5.1.48, 2.5.1.49, 4.2.99.9]","1.1760912590556811","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_5","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])([H])[H]","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","1","[MNXM26]","16","[RR-02-e36404262efe554a-16-F, RR-02-8aa509e8203cfa4e-16-F]","[2.5.1.48]","1.1760912590556811","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_0_5","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H].[H]OC(=O)C([H])([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","0","[None]","16","[RR-02-e36404262efe554a-16-F, RR-02-8aa509e8203cfa4e-16-F]","[2.5.1.48]","1.1760912590556811","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","0"
"[target]","TRS_0_1_0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]>>[H]N([H])[H].[H]OC(=O)C(=O)C([H])([H])C([H])([H])[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se][H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","[H]N([H])[H]","InChI=1S/H3N/h1H3","1","[MNXM729302]","16","[RR-02-9e27aa1ef54eeeaf-16-F]","[4.4.1.1]","1.6127838567197357","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","1"
"[target]","TRS_0_1_0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]>>[H]N([H])[H].[H]OC(=O)C(=O)C([H])([H])C([H])([H])[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se][H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","[H]OC(=O)C(=O)C([H])([H])C([H])([H])[H]","InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)","1","[MNXM159]","16","[RR-02-9e27aa1ef54eeeaf-16-F]","[4.4.1.1]","1.6127838567197357","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","1"
"[target]","TRS_0_1_1","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]>>[H]N([H])[H].[H]OC(=O)C(=O)C([H])([H])[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[Se][H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","[H]N([H])[H]","InChI=1S/H3N/h1H3","1","[MNXM729302]","16","[RR-02-ee205435d5fa5f08-16-F]","[4.4.1.8]","0.0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","1"
"[target]","TRS_0_1_1","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]>>[H]N([H])[H].[H]OC(=O)C(=O)C([H])([H])[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[Se][H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","[H]OC(=O)C(=O)C([H])([H])[H]","InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)","1","[MNXM23]","16","[RR-02-ee205435d5fa5f08-16-F]","[4.4.1.8]","0.0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","1"
"[target]","TRS_0_1_4","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OP(=O)(O[H])O[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se][H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OP(=O)(O[H])O[H]","InChI=1S/C4H10NO6P/c5-3(4(6)7)1-2-11-12(8,9)10/h3H,1-2,5H2,(H,6,7)(H2,8,9,10)","1","[MNXM1334]","16","[RR-02-4ff987f02f5b95b5-16-F, RR-02-4e08db20449ba8f5-16-F]","[2.5.1, 2.5.1.48]","0.0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","1"
"[target]","TRS_0_1_5","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[Se][H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])O[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","[H]OC(=O)C([H])(N([H])[H])C([H])([H])O[H]","InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)","1","[MNXM737786, MNXM694]","16","[RR-02-bcc50624f087fa23-16-F]","[4.2.1.22]","0.0","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","1"
"[target]","TRS_0_1_6","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se][H].[H]OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","[H]OC(=O)C([H])(N([H])[H])C([H])([H])[Se]C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)","[H]OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]","InChI=1S/C8H13NO6/c9-5(8(13)14)3-4-15-7(12)2-1-6(10)11/h5H,1-4,9H2,(H,10,11)(H,13,14)","1","[MNXM820]","16","[RR-02-5fba12e4ae407331-16-F]","[2.5.1.48]","1.1760912590556811","[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H]","1"
